"名称","No","説明","備考","ファイル名（1枚目）","ファイル名（２枚目）","ファイル名（３枚目）","経度","緯度","分類"
"清水峠","890"," 口熊野と奥熊野の境界になるのが大辺路清水峠（しみとうげ）です。旧古座町と那智勝浦町との境にあたります。<br>　峠の古座寄りの古道沿いに、元は石仏の台座であっただろうと思われる道標石があり、「右上田原　左大へち　施主　七兵衛　おゆき　与助」と刻まれています。これは、「大へち（大辺路）」と表記された唯一の道標です。<br>　このあたりの古道は「日本の地質百選」に選ばれている「古座川弧状岩脈」に沿って通り、峠の海側には独特のクジラの背のような、つるんとした形の岩脈が走っています。(2011.6.26)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/890.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/890_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/890_2.jpg","135.88272600003","33.5559519998932","きのくに風景讃歌"
"児童女性会館と「母子像」","891","1963年(昭和38年)和歌山市制70周年の記念に建設された、女性と児童のための施設です。和歌山市出身で名誉市民でもあった松下幸之助氏が、会館建設の趣旨に賛同されて寄付をされたものです。会館内には、松下幸之助夫妻のレリーフ像が設置されて氏の功績を称えています。玄関に設置されている「母子像」は和歌山県出身の彫刻家保田龍門氏が児童と女性のためにと、寄贈されたものです。和歌山市内には、氏の手がけた作品が多く、和歌山県庁本館の階段に、レリーフの2作品が、紀陽銀行本店の壁面にもレリーフの4作品が飾られています。<br>保田龍門について<br>1891年(明治24年)に、那賀郡龍門村(現在の紀の川市)に生まれました。名前は重右衛門、雅号は龍門山にちなみ「龍門」としました。旧制の東京美術学校に進学、卒業制作の「母と子」は文部省美術展覧会で特選になり、氏の生涯の道を決定づけました。1920年(大正9年)に渡米、翌年パリでロダンの助手のブルーデルの教室に彫刻を習う。1923年帰国後は和歌山へ戻り、(西村伊作設計)アトリエを構えた後、大阪へ転居。戦後は和歌山大学で後進の指導にあたり、1965年(昭和40年)73歳で亡くなりました。(2011.6.27)","< 料金 > 会議室の利用は有料(児童女性会館へお問い合わせください)<BR>< 時間 > 9:00～22:00<BR>< 定休日 > 月曜日(休日と重なる時はその翌日)<BR>12/29～1/3<BR>< 駐車場 > 有、空きのない場合 隣接の岡公園駐車場（有料）をご利用ください。","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/891.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/891_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/891_2.jpg","135.17574900002","34.2259969998638","きのくに風景讃歌"
"近露の足湯","892","「近露王子」近く「箸折茶屋」の前に、田辺市営の足湯「禊（みそぎ）の湯」が、2010年11月にオープンしました。<br>温泉は、王子より200メートル程川上にある、近露の温泉「ひすいの湯」から提供を受けています。<br>間伐材の木質チップで沸かす温水ボイラーも導入、いつでも温かいお湯で、ほっこり暖まることが出来ると観光客に好評を得ています。<br>一度に8人程度入ることが出来ます。<br>テーブルがあるので、足湯につかりながらクリームを食べたり、お饂飩を食べることも出来ます。<br>","< 料金 > 無料<BR>< 時間 > 11:00～16:00<BR>< 定休日 > 原則年中無休ですが、気候により臨時休業の場合もあります。","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/892.jpg","","","135.605792999969","33.8143289999315","きのくに風景讃歌"
"渡船碑","893"," 古座川町役場より下流の稚児橋のたもとの川岸に「渡船碑」と呼ばれる２体の石碑が並んで建っています（古座川町文化財）。碑文によると享保八年（1723年）に建立されたとあり、元は池野山川の両岸に建てられていたそうで、どちらも背面に穴が貫通していることから、舟を係留する礎石としての機能もあったのではないかとみられています。<br>　花崗斑岩でできた石の上部には地蔵尊が、下部に碑文が刻まれています。碑文はどちらも同文で「願以比功徳普及於一切我等与衆生皆共成仏道　渡船之施主　池口村　中西勝応　享保八葵卯年六月三日（もうひとつは六月二十七日）」と書かれています。これは禅宗の回向文で「お経の功徳を広く衆生に及ぼして皆で成仏しようではないか」という意味です。碑文の解釈としては、当時古座組大庄屋だった中西氏が渡船を寄付したことを記念して建てたという説と、地元の廻船業者で伝説的豪商として知られた和田氏が渡船を寄付した中西氏の徳を顕彰するために建てたという説があります。<br>　昔は古座川も今より深く、千石船がこのあたりまで遡上したと言い伝えられており、川を使った物流が盛んで多くの廻船が往来した当時の繁栄がしのばれます。(2011.6.27)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/893.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/893_1.jpg","","135.816336000004","33.5318259999388","きのくに風景讃歌"
"会津児童公園のＳＬ","894","田辺市市民総合センターの向かいにある「会津児童公園」は、国鉄蒸気機関車　C57 ７が保存展示され、子供たちから「汽車ポッポの公園」と呼ばれています。<br>昭和12年に製作されてから、役目を終えた昭和47年までの35年間に走った距離は270万ｋｍ近く。地球を約68周した計算になるそうです。<br>この公園に保存されて以降も、元蒸気機関士の方たちが常時手入れをされているので、石炭をくべると今にも走り出しそうなほど、ピカピカに輝いています。(2011.6.27）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/894.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/894_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/894_2.jpg","135.377563999978","33.7347299999643","きのくに風景讃歌"
"男山焼会館","895","南紀男山焼は1827年（文政10年）に紀州藩の許可を受け、崎山利兵衛が広八幡神社の裏にある男山に広大な窯を開いたことにより始まりました。地元の土を使って作られた陶磁器は、日用雑器を中心として製造され全国各地に広まりました。しかし1878年（明治11年）には廃窯となり、約50年という製作期間の短さから「幻の陶器」と言われました。一度は消えてしまった幻の南紀男山焼きでしたが、広川町の加藤氏が復元に近い形で平成の南紀男山焼きとして復活させています。<br>南紀男山焼会館では当時の皿や花器などが展示され、パネルとビデオ紹介等で男山焼きの歴史を学ぶことができます。会館に隣接する体験館では予約すると陶芸を体験することができます。優れた技術を持つ陶工たちの手により作り出された陶磁器は現在も人々に愛される紀州の名品です。(2011.06.28)","< 料金 > 無料、陶芸体験は有料<BR>< 時間 > 9：00～16：00<BR>< 定休日 > 毎週月曜日、年末年始<BR>< 駐車場 > あり（無料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/895.jpg","","","135.178185000023","34.015672999879","きのくに風景讃歌"
"浦神の虫喰岩","896"," 那智勝浦町浦神湾に面した国道42号線の急カーブに虫喰状の岩山が急に現れます。古座川町の「高池の虫喰岩（国指定天然記念物）」や「牡丹岩」に良く似たこの岩山は、それらの岩（流紋岩質火砕岩）と同質のもので、和歌山県で唯一「日本の地質百選」に選ばれた、東西約22kmにわたって続く「古座川弧状岩脈」の西の端にあたります。この岩脈は、約1500万年前に活動した「熊野カルデラ」火山南壁の地下火道で形成されたものといわれており、火山の地下構造が直接見られる点で貴重な地質遺産とされています。<br>　国の天然記念物「高池の虫喰岩」と規模的に遜色ないにもかかわらず、この岩は最近になってようやく、その価値が認められ、那智勝浦町の天然記念物に指定されました。というのも「高池の虫喰岩」は熊野古道大辺路の山越えルートにあたり、古くから知られていたのに対し、海に面した浦神の虫喰岩のところに道が出来たのは近代になってからという事情があります。<br>　古座川弧状岩脈特有の虫喰状の構造がなぜ出来たのかについては、風水による浸食の結果であるとか、火山性ガスが抜けた跡とか、さまざまな説がありますが、じつはいまだによくわかっていません。(2011.6.28)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/896.jpg","","","135.904654999977","33.5624249998563","きのくに風景讃歌"
"宝来宝来神社（ほぎほぎじんじゃ）","897","宝くじの当選や開運に御利益があるといわれる紀州宝来宝来神社は熊本県にある宝来宝来神社の御神体の分身を奉納している分社です。<br>御神体の当銭岩に「ホギホギ」と心の中で念じ祈願するという独特の参拝方式があります。<br>宝くじに当選したい方もそうでない方も一度訪れ試してみてはいかがでしょうか。(2011.6.29)","< 駐車場 > あり（無料）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/897.jpg","","","135.214761999981","34.1025289998902","きのくに風景讃歌"
"会津児童公園の「明治大水害記念碑」","898","　田辺市総合センター前の「会津児童公園」に建てられている「明治大水害記念碑」の最高水位線を見ると、こんな高さまで！と、驚きを隠しえません。<br>　田辺市の地域防災計画資料によると「明治大水害」. 紀南三郡 西牟婁の被害：死者 932 人、流失家屋. 1,544戸、堤防決潰 ・破損 1,621 ヶ所、山. 崩れ 18,782 ヶ所他 ..... と、記されています。<br>　毎年７月に行われる「田辺祭」で、紺屋町は、「笠鉾」に変えて「衣笠」を出しています。<br>この明治22年の大水害で、笠鉾を流されてしまった為です。<br>田辺市民は、「衣笠」を見るたび、水害のすさまじさを思い起こしています。(2011.6.30）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/898.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/898_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/898_2.jpg","135.377391999977","33.7347569999647","きのくに風景讃歌"
"祥源寺と石塔群","899"," 古座川町高池の祥源寺（臨済宗妙心寺派）は天正年間（1573-1592年）の創建と伝えられ、中世に古座川河口左岸を支配した高川原（たかがわら）氏の住居がこのあたりにあったといわれています。高川原氏は色川郷に隠れ住んだ三位中将平維盛の子孫と伝えられ、高川原村（現古座川町高池下部）や古座浦（現串本町古座）を根拠地に、熊野水軍領主のひとりとして勇名をはせた豪族です。<br>　境内に入ってすぐ目につくのが、高野山や那智山あたりでしか見られないような巨大な石塔群で、当地が江戸期にはこのような石塔を建立できるほどの有力者が居住した土地であったことがしのばれます。<br>　石塔の多くは由来が不明な墓石ですが、その中で安永九年（1780年）の年紀が入った宝篋印塔の文字が最近解読され、注目されています。塔身正面に「奉西国三十三度巡礼供養」と記されており、那智山青岸渡寺を第一番札所とする西国三十三カ所観音霊場を33回巡礼し、満願となったことを記念する供養塔であることがわかります。実際に巡礼を行った願主は「沙門　恵心」と書かれ、尼僧であるようですが、注目すべきは建立資金を拠出した施主の名で、古座川流域の人々の名の他に「大坂道頓堀幸橋　金屋平兵衛、木地屋伊右衛門」などの大坂商人と思われる人々の名が記され、それらの屋号から推定して古座川流域の鉱山から産する鉱石や木製品の廻船による流通が盛んであったことを伺わせる資料となっています。<br>  祥源寺境内にはまた、今は珍しくなったカヤの巨木が数本植えられています。","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/899.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/899_1.jpg","","135.81914699999","33.5303589999482","きのくに風景讃歌"
"感恩碑","900","莫大な私財を投じて大防波堤を築き、津波の脅威から村を守ることに着手した浜口梧陵の偉業に感謝するため、昭和８年12月に村人によって建立されました。<br>浜口梧陵が築いた堤防のちょうど中間辺りに海に向かって立つ姿は津波の脅威に立ち向かっているようにも感じられます。<br>この感恩碑前の広場では、大津波で亡くなられた人々の冥福を祈るとともに、浜口梧陵の遺徳を偲ぶ津波祭りが毎年開催されます。(2011.6.30)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/900.jpg","","","135.171811999996","34.0276059998834","きのくに風景讃歌"
"六勝寺","901"," 旧古座町古田の山麓にある六勝寺は、熊野水軍領主で中世にこの地を支配した小山氏の菩提寺といわれ、嵯峨天皇の勅願所で弘法大師の創建とも伝えられていますが、火災のため一切の記録が失われ、創建年代なども不明のままです。<br>　境内には江戸時代に建立された四国八十八カ所と西国三十三カ所の二大霊場に対応した石仏群が整然と配置され、さながらミニ霊場となっており、長旅に出られない人々のために、いながらにして二大霊場参拝の功徳が積めるようになっています。（2011.6.30）　","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/901.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/901_1.jpg","","135.808610999991","33.531664999952","きのくに風景讃歌"
"観光筏下り","902","　北山村の文化にして伝統産業でもある「筏流し」を今に残そうと「観光筏下り」がスタートしたのは昭和54年。以来、北山村でしか体験できない、大迫力の「筏下り」は、評判を呼び、予約が殺到。年間8千人が体験するという村きっての人気観光ツールになりました。<br><br>　杉の丸太８本を組んだ７つの筏をつなぎ、作られた筏は長さ約３０メートル。<br>流れが緩いところでは、岸辺の岩を利用して、櫂（かい）やロープを使い、急流に差し掛かると櫂を操りながら、狭い岩場を筏師の巧みな手さばきですり抜けます。<br>急流は９カ所あり、観光客は両脇の手すりにしがみついて悲鳴とも歓声ともつかない大きな声を上げます。　<br><br>　約６キロを１時間余りで下るスリル満点の「観光筏下り」は夏季限定・・・短いズボンとビーチサンダル姿がお勧めです。かなり水しぶきが上がります。着替えもお忘れなく 。　（2011.7.2)","< 乗船対象者 > 10歳から75歳までの健脚な方<BR>< 料金 > 1名 6,000円（小学生は半額）<BR>※8月のみ 1名 7,000円（小学生は3,000円）<BR>< 運航日 > 定期運航<BR>5月　土・日・祝<BR>6月　土・日<BR>7月　金・土・日・月・火・水・祝<BR>8月　金・土・日・月・火・水<BR>9月　土・日・祝<BR>< 集合時間 > 第1便　10:20<BR>第2便　12:40<BR>< 駐車場 > あり","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/902.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/902_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/902_2.jpg","135.947013000065","33.9396569998454","きのくに風景讃歌"
"壁の中の庚申像","903"," 串本町二部（にぶ）の旧国道の民家の壁面に庚申像が埋め込まれています。ここが熊野古道大辺路であったことのしるしですが、道路拡張によって民家の壁に祀られるようになったと思われます。<br>　庚申（こうしん）像や庚申塔は、江戸時代に庚申信仰が盛んになるにともない、全国的に数多くつくられるようになり、街道沿いやお寺の境内などに建てられているのをよく見かけます。今でも、失せもの捜しにご利益があるとして、庚申様にお参りするということは広く行われています。<br>　庚申の本尊は道教に由来するといわれる青面金剛（しょうめんこんごう）で、法輪や刀などを持ち、足下に「見ざる、聞かざる、言わざる」のいわゆる三猿や、日月、鶏などが彫られているという特徴があります。この二部の庚申像は摩耗が激しく、年紀も不明ですが、鶏が彫られているのを確認することができます。<br>　様々な表情の石仏を鑑賞しながら歩くのも、古道歩きの楽しみのひとつです。(2011.7.5)<br>　","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/903.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/903_1.jpg","","135.768399000013","33.4823369999521","きのくに風景讃歌"
"日本基督教団紀南教会とハマボウ群落","904"," 那智勝浦町下里の太田川河口近くに新宮市出身の建築家で文化学院の創立者として知られる西村伊作（1884-1963年）設計の日本基督教団紀南教会（大正14年築。国の登録有形文化財）があります。西村伊作は画家、陶芸家、詩人としても活躍した大正ロマンを代表する文化人のひとりで、自身クリスチャンでもあり、他にも教会を設計しています。<br>　この教会が建つ河口の干潟には貴重なハマボウの群落があり、７～８月には黄色い大きな花を咲かせます。ハマボウ（アオイ科）は関東以西の海岸部に分布するハイビスカスの仲間の低木で、和歌山県レッドデータブックでは準絶滅危惧に分類されています。（2011.7.5)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/904.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/904_1.jpg","","135.921917999999","33.5793469998753","きのくに風景讃歌"
"山田猪三郎顕彰碑","905","日本の飛行船第一号を完成・飛行させた山田猪三郎は、1863年の和歌山市生まれです。1886年串本沖でイギリスの貨物船ノルマン号が遭難し、多くの日本人が亡くなりました。猪三郎はゴム製の救命胴衣の開発の必要性を感じ、研究を行い、商品化に向けて大崎で創業をしました。この後、気球の開発にも着手し、1900年に日本で初めての係留気球を完成させます。さらに明治43年(1910)には、プロペラによる推進力を持たせた、山田式1号飛行船を完成させ、東京で初飛行に成功しました。この飛行日を記念して「航空記念日」は9月20日に設定されました。3機の飛行船を完成させた後、大正2年(1913)に51歳でなくなりますが、彼の創業した会社は、(株)気球製作所として、現在でも気象庁・防衛庁向けの気球の製作を行っています。高津子山の中腹にある顕彰碑は、丸い飛行船が彫られていて、山田猪三郎の功績を称えたものになっています。当時の文部大臣鎌田栄吉によって、昭和4年(1929)に建立されたものです。鎌田は和歌山の出身で山田と親交が深かったといいます。(2011.7.8)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/905.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/905_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/905_2.jpg","135.1566789999","34.1870399999878","きのくに風景讃歌"
"御橋廊下","906","二の丸と西の丸を隔てる堀の上にかけられた橋が「御橋廊下(おはしろうか)」です。西の丸は徳川頼宣が築造した「紅葉渓庭園」や茶室、能舞台などがあり、藩主の娯楽の場として、一方、二の丸は藩政の拠点であり、藩主が生活する場としても使われていました。「御橋廊下」は藩主と側近のものだけが通行できる裏道として使われました。橋でありながら、藩主の姿を見せないように囲いがされています。約11度の角度がついている斜めの橋としては珍しいものです。明治の前半までは存在したようですが、写真には残らず、江戸時代の絵図に描かれたものでしか形を知ることができませんでした。復元調査により遺構が確認されたのは2000年のことです。礎石17個が見つかり、その調査結果から橋の規模や構造が推定され、復元工事が2001年から始まり2006年に完成しました。総事業費６億円、国や県の補助を受けて和歌山市が実施しました。(2011.7.8)<br>ライトアップの様子<br>点灯時間は季節により変化します。<br>消灯する日もありますので、<br>和歌山城管理事務所へお問い合わせ下さい。","< 料金 > 無料<BR>< 時間 > 9：00～17：00<BR>< 定休日 > 年中無休（12/29～1/3は休み）","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/906.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/906_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/906_2.jpg","135.171372000024","34.2288399998687","きのくに風景讃歌"
"口熊野奥熊野境界址","907"," 串本町田原（旧古座町田原）と那智勝浦町浦神の境界である大辺路清水峠（しみとうげ）の国道42号線脇に「口熊野奥熊野境界址」と刻まれた鬼御影の石碑が建っています。昭和２年に田原村軍人会が建立したもので、当時地元では、ここが口熊野(くちくまの)と奥熊野の境であると考えていたことを示しています。<br>　じつは口熊野と奥熊野というエリア区分には決まった定義は無く、地域の人々の慣習的な呼称で、時代により、地域により、人により定義はまちまちです。古文書には、「口室（くちむろ）」、「奥室」という呼称も出てきますが、これは室＝牟婁郡（むろぐん）の意味で使われており、「口熊野」、「奥熊野」と同義語です。<br>　『紀伊続風土記』には、大塔山を境として以西を口熊野、東を奥熊野と呼ぶとし、田原と浦神の間がその境界であると考える人がいるのは、中世から江戸時代を通じて、この大辺路清水峠を境にして、東側が堀内氏、浅野氏、水野氏が支配してきた新宮領であったためであろうとしています。<br>　一方、明治34年（1901年）に完成した紀州藩の歴史書『南紀徳川史』には、新宮川（現熊野川）より東を口熊野、西を奥熊野と呼ぶとしています。この場合、新宮領は口熊野に含まれることになります。（2011.7.12）<br>　","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/907.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/907_1.jpg","","135.883713000004","33.5528399999352","きのくに風景讃歌"
"朝日の鐘","908","新庄総合公園の中に、際だって目立つモニュメントがあります。鳥居を組み合わせたような朱色の４本の柱と、そこからぶら下げられた一見ホタテ貝のような鐘。これは、上富田町とスペインのバルセロナに工房を持つ音響彫刻家・増田感さんによる作品で「朝日の鐘」と呼びます。いずれも世界遺産である「熊野古道」とスペインの「サンティアゴへの道」が姉妹道提携をした記念に、平成11年に制作されたものです。<br>ホタテ貝の部分はアルミ合金製で、高さ約２ｍ、幅は1.8ｍ、重さは1.3トンもあります。これを吊している柱はそれぞれ直径60cm、高さは10ｍで天然のヒバ材を使用しています。ホタテ貝はサンティアゴ巡礼者のシンボルとなっているところから、鐘のデザインとして採用されました。<br>当初「朝日の鐘」と対になる「夕日の鐘」を制作してスペインに設置する案もありました。スペインの緯度と日本との時差を考慮すると、夏場には日本の朝日が見られる時間帯に、スペインでは夕日が見られることから付けられたネーミングでした。(2011.7.13)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/908.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/908_1.jpg","","135.399283999963","33.6959939998246","きのくに風景讃歌"
"惣福寺","909","惣福寺は宝亀元年（770年）道光上人の開基と伝えられています。<br>本堂は野上谷一の規模と風格を誇っています。<br>隣には熊野神社があり山の中腹にありながら広々とした空間は神秘的な力を感じさせてくれます。(2011.7.14)","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/909.jpg","","","135.419024999949","34.1429949999315","きのくに風景讃歌"
"八坂神社と例祭","910"," 古座川町池野山の八坂神社は池野山区と高池上部区の氏神で、社殿の背後の鎮守の森は貴重なシダ類が自生し、古座川町の天然記念物に指定されています。現在の御祭神はスサノオノミコトですが、『紀伊続風土記』では「矢倉明神森」の名称となっており、「木を祀る」と記されていますので、もともとは当地に多く分布する自然崇拝の古代的神社であったと思われます。<br>　例祭は旧暦六月の丑の日でしたが、現在は７月15日に近い日曜日に行われています。神事のあと獅子舞が奉納されますが、古座川流域を中心にして熊野に広く分布する古座獅子のひとつで、古座獅子は江戸時代初期に古座組大庄屋であった中西氏が伊勢から古座へ伝えたという伝承をもっています。<br>　神社の前に、今は埋め立てられていますが、かつて熊野で盛んに行われていた農耕牛の操作技術を競う「田掻き」用の田んぼがありました。（2011.7.18）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/910.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/910_1.jpg","","135.817366000067","33.5371019998603","きのくに風景讃歌"
"佐部城址と佐部の合戦","911"," 串本町佐部（さべ）の上田原と佐部に分かれるところの小山の山頂が佐部城址です。築城年代は不明ですが戦国時代末期といわれ、新宮領主の堀内氏が熊野全域への勢力拡大を謀り、さらに南下するための足がかりとして、はるばる奥州から田村半之丞という武将を招いて築城したといわれています。<br>　これに対抗するため、古座の高川原氏、西向の小山氏をはじめ、現在の串本から田辺までの、いわゆる口熊野の小領主たちが同盟して佐部城を攻めたのが、有名な「佐部の合戦」です。<br>　戦いの模様は『南紀古士伝』や『熊野巡覧記』などの古文書にみえますが、要約すれば次のように話になります。<br>　「太田荘を強奪した堀内安房守は椎橋新左衛門という筆頭の武将を佐部城に派遣し、口室（=口熊野)を乗っ取るべく画策していた。そこに古座の高川原氏、西向の小山氏に安宅、目良、芳養（はや）氏ら口熊野の領主たちが加勢して連合軍を結成し、最前線の佐部城を攻略しようとした。しかし、歴戦の武将である椎橋新左衛門の前に負傷者が続出、口熊野連合軍は敗北寸前に陥った。そこに古座の浅利兵六という鉄砲の名手の若者が櫓の上で采配を振る椎橋新左衛門を鉄砲で狙撃、新左衛門は櫓から真っ逆さまに転落した。これに力を得た連合軍は一気に城になだれ込み、中にいた男女300人を討ち取った」<br>　この戦いの結果、太田川を境として西は高川原氏領、東は那智領になり、堀内氏は以前通り浜の宮から東を領有するように改められたそうです。<br>　城跡は現在森に覆われていますが、山頂には本丸と二の丸、尾根には敵の侵入を防ぐ掘切の遺構があるそうです。城跡はとくに整備されていませんし、私有林のため無断立ち入りはできません。（2011.7.19）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/911.jpg","","","135.860538000075","33.5535549999242","きのくに風景讃歌"
"大潟神社","912","大潟（おおがた）神社は、もと若一王子社（にゃくいちおうじ）といい、熊野街道大辺路に面して鎮座していましたが、昭和16年、山頂の現在地に遷座しました。<br>明治元年、大潟神社と改称。同10年村内の５社を境内社として合祀、同41年神社合祀令により村内の神社を合祀しました。<br><br>平成10年に台風によって、被害を被りましたが、地元の方の尽力により、平成14年、現在の社殿が完成しました。<br>合祀されている祗園社例祭の宵宮行事「祇園さんの夜見世」は国の選択無形文化財になっています。<br>　　（2011.7.19）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/912.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/912_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/912_2.jpg","135.406816000063","33.7158439999056","きのくに風景讃歌"
"祇園さんの夜見世","913","大潟神社に合祀されている祗園社例祭の宵宮行事です。<br>名喜里橋から神社までの家々で、昔話や伝説に 因んだものや、その年の出来事など、野菜、花、木の葉や木の実などで工夫して作った出し物を、軒下や玄関先に飾りつけます。<br>江戸時代中期から続いており、国の選択無形文化財になっています。<br>その昔、大潟神社のぎおんさんに夏場の流行り病をお払いしてもらうために始まったと伝えられています。<br>近年は、近くの小・中学校や幼稚園保育所の子ども達も作品を展示し、地元の一大イベントとして注目を集め、大勢の見物人で賑わいます。（2011.7.19）","","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/913.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/913_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/913_2.jpg","135.405765000073","33.7160049999145","きのくに風景讃歌"
"円満地公園","914","色川探索の拠点。国道Ｒ42の下里・市屋の交差点を「円満地公園」の案内板に従って西進し、太田川に沿って県道Ｒ45の平坦な道を約30分進めば到着します。約1.5haの敷地内には駐車場があり、コテージやログハウス、オートサイトなどの宿泊施設が充実しています。さらに子どもたちに人気のウォータースライダープールまであります。管理棟には色川のお土産が揃い、キャンプ用品が揃います。ここを起点にして、色川の棚田や茶畑や神社を巡るウォークも開催され、写真を撮ったり自然を満喫したりできて人気です。(2011.7.20)","< 料金 > 円満地公園オートキャンプ場のホームページをご覧ください。<BR>< 時間 > 管理棟営業時間<BR>４月～10月　平日　　10:00～16:00<BR>　　土日　 9:00～18:00<BR>11月～３月　土日　 9:00～17:00<BR>< 定休日 > キャンプ場は年中無休<BR>管理棟　　４月～10月　火曜日定休<BR>　11月～３月　平日定休<BR>< 駐車場 > あり","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/914.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/914_1.jpg","https://v009.www2.wagmap.jp/wakayamaken/wakayamaken/Content/images/plugin/photo/914_2.jpg","135.855367000009","33.6637819998763","きのくに風景讃歌"
